Date	Price	Open	High	Low	Vol.	Change %
11/28/2025	"166,260.16"	"166,443.06"	"167,005.05"	"166,083.81"	196.38M	0.54%
11/27/2025	"165,373.31"	"163,509.30"	"165,611.11"	"163,509.30"	175.28M	1.34%
11/26/2025	"163,188.53"	"161,984.45"	"163,397.23"	"160,564.86"	234.70M	0.93%
11/25/2025	"161,692.48"	"162,394.41"	"162,819.84"	"161,276.81"	162.00M	-0.18%
11/24/2025	"161,984.09"	"162,206.17"	"162,385.33"	"161,241.47"	154.38M	-0.07%
11/21/2025	"162,102.92"	"163,016.59"	"163,357.52"	"161,853.59"	254.63M	-0.51%
11/20/2025	"162,936.94"	"162,871.27"	"163,817.83"	"162,646.98"	208.14M	0.44%
11/19/2025	"162,226.28"	"161,279.02"	"162,741.73"	"161,279.02"	361.89M	0.80%
11/18/2025	"160,935.13"	"162,089.33"	"162,344.66"	"160,583.91"	302.86M	-0.47%
11/17/2025	"161,687.19"	"163,077.95"	"163,602.16"	"161,481.69"	521.41M	-0.15%
11/14/2025	"161,935.19"	"161,308.72"	"162,118.77"	"160,791.78"	239.78M	0.80%
11/13/2025	"160,657.50"	"158,971.48"	"160,944.52"	"158,971.48"	254.92M	1.56%
11/12/2025	"158,183.95"	"158,068.17"	"159,516.41"	"157,203.55"	217.77M	0.20%
11/11/2025	"157,870.50"	"161,516.75"	"161,516.75"	"157,765.92"	291.16M	-2.27%
11/10/2025	"161,538.41"	"160,619.83"	"161,881.45"	"160,406.44"	225.01M	1.22%
11/7/2025	"159,592.91"	"159,393.02"	"160,435.95"	"159,005.14"	216.91M	0.31%
11/6/2025	"159,096.80"	"160,240.88"	"160,590.77"	"158,252.63"	286.00M	-0.30%
11/5/2025	"159,578.19"	"161,368.19"	"162,052.45"	"159,216.86"	333.05M	-1.06%
11/4/2025	"161,281.77"	"163,286.70"	"163,384.95"	"161,159.27"	321.60M	-0.93%
11/3/2025	"162,803.16"	"162,827.13"	"163,935.03"	"161,892.59"	353.00M	0.72%
10/31/2025	"161,631.73"	"158,195.55"	"162,194.31"	"158,195.55"	408.94M	3.13%
10/30/2025	"156,732.88"	"158,996.02"	"159,507.42"	"156,327.61"	378.02M	-1.09%
10/29/2025	"158,465.06"	"160,607.77"	"160,690.13"	"158,306.84"	390.15M	-1.02%
10/28/2025	"160,101.03"	"162,444.28"	"163,380.67"	"159,805.34"	374.97M	-1.27%
10/27/2025	"162,163.81"	"163,308.91"	"163,570.83"	"161,766.63"	363.99M	-0.70%
10/24/2025	"163,304.13"	"164,414.44"	"165,025.86"	"163,041.98"	424.61M	-0.78%
10/23/2025	"164,590.41"	"166,457.67"	"166,720.42"	"164,395.39"	485.01M	-1.18%
10/22/2025	"166,553.28"	"167,781.03"	"168,163.22"	"166,230.91"	727.76M	-0.47%
10/21/2025	"167,346.83"	"167,004.66"	"168,414.14"	"166,923.59"	1.00B	0.66%
10/20/2025	"166,242.91"	"164,912.41"	"166,421.34"	"164,281.95"	704.43M	1.49%
10/17/2025	"163,806.22"	"164,983.44"	"165,030.81"	"163,118.02"	500.44M	-0.39%
10/16/2025	"164,444.72"	"166,280.38"	"166,864.91"	"164,261.66"	1.39B	-0.75%
10/15/2025	"165,686.38"	"166,756.77"	"167,561.69"	"165,357.20"	893.80M	0.13%
10/14/2025	"165,476.02"	"160,821.73"	"165,866.78"	"160,821.73"	586.85M	4.44%
10/13/2025	"158,443.42"	"161,403.91"	"161,988.13"	"157,678.02"	686.33M	-2.85%
10/10/2025	"163,098.19"	"163,984.81"	"165,262.86"	"162,411.27"	607.60M	-0.87%
